dagger_iteration,epoch,mse_loss
-1,0,0.028013945840340695
-1,1,0.024193851913376148
-1,2,0.023119528556756957
-1,3,0.022421375671050913
-1,4,0.021786289350967464
-1,5,0.021257054746849788
-1,6,0.02079367257928738
-1,7,0.020374110100707728
-1,8,0.020060875510531925
-1,9,0.01962464116253946
-1,10,0.01942382893340618
-1,11,0.019149019143893546
-1,12,0.018908367824780975
-1,13,0.018676998705188828
-1,14,0.018457630890807347
-1,15,0.01819799891432729
-1,16,0.018021790637093048
-1,17,0.017792359253617634
-1,18,0.017614953107209657
-1,19,0.01745025791790248
-1,20,0.01726771930214459
-1,21,0.0171970435354217
-1,22,0.01695785713882148
-1,23,0.01687300500035873
-1,24,0.01666152693160434
-1,25,0.01650749262736661
-1,26,0.016467940555222986
-1,27,0.016222188268714122
-1,28,0.016093345428946866
-1,29,0.015937660987368128
-1,30,0.015826534434881533
-1,31,0.015707856991082805
-1,32,0.01560258943843428
-1,33,0.015463446472664955
-1,34,0.015428387955145461
-1,35,0.015278687158981378
-1,36,0.015238898622152634
-1,37,0.015118645212023338
-1,38,0.014989480846775812
-1,39,0.014734463717507891
-1,40,0.01472882427696679
-1,41,0.014603340876518621
-1,42,0.014519895868235615
-1,43,0.014544450997139849
-1,44,0.014357193457248466
-1,45,0.014267571329891246
-1,46,0.014103407922851615
-1,47,0.014170048230053595
-1,48,0.013948302816682738
-1,49,0.01404619653468284
-1,50,0.013881103042448186
-1,51,0.013799916084360908
-1,52,0.013678327949186385
-1,53,0.013697534477119976
-1,54,0.013600781421447264
-1,55,0.013535696377482842
-1,56,0.01352774763315516
-1,57,0.013453060943185841
-1,58,0.013286201031833129
-1,59,0.013244282677665748
-1,60,0.013127668841736783
-1,61,0.013078452477775867
-1,62,0.012988596610858714
-1,63,0.012944794866721428
-1,64,0.01287718671419485
-1,65,0.012821056926817825
-1,66,0.01276000490966753
-1,67,0.012621360133607278
-1,68,0.012516079416934977
-1,69,0.012612178371933444
-1,70,0.012512353884064005
-1,71,0.012467268951798333
